Price,Close,High,Low,Open,Volume
Ticker,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS
Date,,,,,
2011-11-03,35.475399017333984,35.62875039010322,35.117577606822536,35.27093129066663,2676760
2011-11-04,35.39019012451172,35.78209049629708,35.23683880993223,35.78209049629708,2070811
2011-11-08,35.39019012451172,35.441308770087545,35.23683880993223,35.39019012451172,923114
2011-11-09,35.28795623779297,35.66281707266771,35.236839901707356,35.44130986819795,3342820
2011-11-11,35.935455322265625,36.037690340782675,35.10054024134694,35.27093116851708,7747315
2011-11-14,35.9013786315918,36.463670115787785,35.628752667533895,36.054730014163425,8136060
2011-11-15,35.30500030517578,36.00360341717272,35.18572806868688,35.458351644132584,2602442
2011-11-16,35.50947570800781,35.90137389072584,34.99830295955402,34.99830295955402,5559879
2011-11-17,35.15165328979492,35.90137283663319,35.032378727561145,35.2709278520287,4564324
2011-11-18,34.40193557739258,35.27092973280254,33.515901867744226,35.10053881256823,6971425
2011-11-21,33.75444793701172,34.41897435988529,33.53294067010368,33.90779929956919,5725408
2011-11-22,33.36254119873047,33.9077906047947,33.08991534016129,33.9077906047947,5742603
2011-11-23,32.39131546020508,33.29438856038607,32.084612783811146,33.17511401341379,4916261
2011-11-24,32.476524353027344,32.88546219458042,32.25501702958306,32.68099442934153,10127464
2011-11-25,32.85136795043945,33.123993803779356,32.306116243759654,32.59578164625969,7728058
2011-11-28,33.08993148803711,33.31143880624087,32.78322869189725,33.08993148803711,5436096
2011-11-29,32.442440032958984,33.32847143257751,32.37428181592506,33.192159620659204,5379923
2011-11-30,33.7714958190918,34.04412181479977,32.47652407278535,32.527642746960446,13613461
2011-12-01,34.07819366455078,34.75975735295581,33.90780043137473,34.07819366455078,4222484
2011-12-02,35.23685073852539,35.44132076789914,34.04411429301962,34.09523064482567,5707744
2011-12-05,34.981266021728516,35.25389197017327,34.70864007328375,34.82791464793924,2957969
2011-12-07,35.15165328979492,35.62874691658074,34.708636458594015,34.77679236083846,5975381
2011-12-08,33.873722076416016,35.23684939056278,33.73740795835653,35.08349802993621,5809203
2011-12-09,33.58405685424805,33.65221275826103,33.08992366131054,33.24327502310843,4296964
2011-12-12,32.91954040527344,33.873730216694796,32.61283761031579,33.73741606587732,8160604
2011-12-13,33.7714958190918,34.04412181479977,32.57875911006026,32.85138510576824,3981949
2011-12-14,32.834327697753906,33.90778922787875,32.71505316726269,33.72036112435545,5776327
2011-12-15,33.856685638427734,34.1974674983248,32.34020682410079,32.357246379310624,12973287
2011-12-16,33.43070602416992,34.52120743894632,32.91953326933023,33.82260421178379,12589918
2011-12-19,33.78853225708008,34.02707911464365,32.80026340278089,32.91953798710021,4820722
